,Date,Temp,Rain,Month,Year
405,10/02/1963,19.2,0,2,1963
406,11/02/1963,20.2,0,2,1963
407,12/02/1963,20.4,0,2,1963
408,13/02/1963,20.4,0,2,1963
409,14/02/1963,21.2,0,2,1963
410,15/02/1963,22,0,2,1963
411,16/02/1963,15.8,0.8,2,1963
412,17/02/1963,21.2,0,2,1963
413,18/02/1963,20,0,2,1963
414,19/02/1963,26.2,0,2,1963
415,20/02/1963,23,2,2,1963
416,21/02/1963,18.2,0.3,2,1963
417,22/02/1963,17,1.2,2,1963
418,23/02/1963,22,0,2,1963
419,24/02/1963,23.6,4,2,1963
420,25/02/1963,18,0,2,1963
421,26/02/1963,25.8,0,2,1963
422,27/02/1963,21,0.4,2,1963
423,28/02/1963,22,0,2,1963
424,01/03/1963,20.4,0,3,1963
425,02/03/1963,19.6,0,3,1963
426,03/03/1963,19.6,0,3,1963
427,04/03/1963,28.6,0,3,1963
428,05/03/1963,23.4,0,3,1963
429,06/03/1963,21.8,0,3,1963
430,07/03/1963,17.8,0,3,1963
431,08/03/1963,18.4,0,3,1963
432,09/03/1963,22.2,0,3,1963
433,10/03/1963,17.2,0,3,1963
434,11/03/1963,20.4,0,3,1963
435,12/03/1963,22.4,0,3,1963
436,13/03/1963,24.8,0,3,1963
437,14/03/1963,20.2,0,3,1963
438,15/03/1963,21.8,0,3,1963
439,16/03/1963,21.8,0,3,1963
440,17/03/1963,17.4,0,3,1963
441,18/03/1963,19.4,0,3,1963
442,19/03/1963,27.4,0,3,1963
443,20/03/1963,20.8,0,3,1963
444,21/03/1963,19.8,3,3,1963
445,22/03/1963,15.4,0,3,1963
446,23/03/1963,17.8,0,3,1963
447,24/03/1963,21.8,0,3,1963
448,25/03/1963,18.4,0,3,1963
449,26/03/1963,15.4,0,3,1963
450,27/03/1963,14.6,0,3,1963
451,28/03/1963,19.6,0,3,1963
452,29/03/1963,17.8,0,3,1963
453,30/03/1963,16.2,0,3,1963
454,31/03/1963,16.4,0,3,1963
